MovieID,Title,Year,Genres,Language,Country,Total Views
2991,Live and Let Die (1973),1973,Action,English,France,22260
2993,Thunderball (1965),1965,Action,Italian,USA,40453
3197,"Presidio, The (1988)",1988,Action,German,France,34658
3274,Single White Female (1992),1992,Action,Spanish,USA,76379
3283,Minnie and Moskowitz (1971),1971,Action,Spanish,India,54843
3310,"Kid, The (1921)",1921,Action,English,India,59898
3384,"Taking of Pelham One Two Three, The (1974)",1974,Action,Italian,USA,30297
3442,Band of the Hand (1986),1986,Action,Spanish,Canada,91662
3444,Bloodsport (1988),1988,Action,German,USA,62537
3541,Third World Cop (1999),1999,Action,German,USA,85677
3624,Shanghai Noon (2000),2000,Action,English,France,77786
3633,On Her Majesty's Secret Service (1969),1969,Action,German,India,38428
3635,"Spy Who Loved Me, The (1977)",1977,Action,French,USA,60621
3639,"Man with the Golden Gun, The (1974)",1974,Action,German,Canada,17916
3769,Thunderbolt and Lightfoot (1974),1974,Action,Spanish,USA,55119
3879,"Art of War, The (2000)",2000,Action,Spanish,France,37272
44,Mortal Kombat (1995),1995,Action|Adventure,Spanish,UK,55503
208,Waterworld (1995),1995,Action|Adventure,German,Italy,89561
462,"Good Man in Africa, A (1994)",1994,Action|Adventure,Italian,UK,26408
704,"Quest, The (1996)",1996,Action|Adventure,French,Canada,92686
809,Fled (1996),1996,Action|Adventure,Italian,UK,62152
940,"Adventures of Robin Hood, The (1938)",1938,Action|Adventure,Spanish,UK,13607
1049,"Ghost and the Darkness, The (1996)",1996,Action|Adventure,German,USA,68720
1198,Raiders of the Lost Ark (1981),1981,Action|Adventure,French,USA,71150
1275,Highlander (1986),1986,Action|Adventure,Spanish,India,69243
1291,Indiana Jones and the Last Crusade (1989),1989,Action|Adventure,German,Italy,46925
1587,Conan the Barbarian (1982),1982,Action|Adventure,English,USA,37388
1606,Kull the Conqueror (1997),1997,Action|Adventure,German,UK,25757
1681,Mortal Kombat: Annihilation (1997),1997,Action|Adventure,Spanish,France,69689
1867,Tarzan and the Lost City (1998),1998,Action|Adventure,English,Canada,19554
2013,"Poseidon Adventure, The (1972)",1972,Action|Adventure,Italian,India,75442
2115,Indiana Jones and the Temple of Doom (1984),1984,Action|Adventure,Italian,France,20180
2153,"Avengers, The (1998)",1998,Action|Adventure,German,Canada,93377
2373,Red Sonja (1985),1985,Action|Adventure,French,Italy,41486
2748,Allan Quartermain and the Lost City of Gold (1987),1987,Action|Adventure,Spanish,France,8979
2905,Sanjuro (1962),1962,Action|Adventure,English,France,14113
3139,Tarzan the Fearless (1933),1933,Action|Adventure,German,USA,67324
3279,Knockout (1999),1999,Action|Adventure,English,France,92337
3389,Let's Get Harry (1986),1986,Action|Adventure,German,Italy,85082
3771,"Golden Voyage of Sinbad, The (1974)",1974,Action|Adventure,German,France,17890
3807,Sinbad and the Eye of the Tiger (1977),1977,Action|Adventure,French,UK,6632
3000,"Princess Mononoke, The (Mononoke Hime) (1997)",1997,Action|Adventure|Animation,German,Italy,93135
558,"Pagemaster, The (1994)",1994,Action|Adventure|Animation|Children's|Fantasy,German,Italy,59315
610,Heavy Metal (1981),1981,Action|Adventure|Animation|Horror|Sci-Fi,Italian,Italy,10170
1495,Turbo: A Power Rangers Movie (1997),1997,Action|Adventure|Children's,Spanish,USA,76774
2041,Condorman (1981),1981,Action|Adventure|Children's|Comedy,Spanish,France,38319
2720,Inspector Gadget (1999),1999,Action|Adventure|Children's|Comedy,Italian,India,97145
1525,Warriors of Virtue (1997),1997,Action|Adventure|Children's|Fantasy,Spanish,France,32127
546,Super Mario Bros. (1993),1993,Action|Adventure|Children's|Sci-Fi,Italian,Italy,81387
552,"Three Musketeers, The (1993)",1993,Action|Adventure|Comedy,Spanish,UK,57074
2723,Mystery Men (1999),1999,Action|Adventure|Comedy,Italian,France,96408
2735,"Golden Child, The (1986)",1986,Action|Adventure|Comedy,Spanish,Canada,49258
2879,Operation Condor (Feiying gaiwak) (1990),1990,Action|Adventure|Comedy,Spanish,UK,89978
2880,Operation Condor 2 (Longxiong hudi) (1990),1990,Action|Adventure|Comedy,English,Italy,92968
153,Batman Forever (1995),1995,Action|Adventure|Comedy|Crime,Spanish,USA,23973
1377,Batman Returns (1992),1992,Action|Adventure|Comedy|Crime,Italian,Canada,1862
3104,Midnight Run (1988),1988,Action|Adventure|Comedy|Crime,Spanish,India,54257
1261,Evil Dead II (Dead By Dawn) (1987),1987,Action|Adventure|Comedy|Horror,Spanish,USA,48609
1215,Army of Darkness (1993),1993,Action|Adventure|Comedy|Horror|Sci-Fi,Spanish,India,76695
380,True Lies (1994),1994,Action|Adventure|Comedy|Romance,Italian,France,99971
1197,"Princess Bride, The (1987)",1987,Action|Adventure|Comedy|Romance,German,India,57710
2405,"Jewel of the Nile, The (1985)",1985,Action|Adventure|Comedy|Romance,Spanish,India,19740
2406,Romancing the Stone (1984),1984,Action|Adventure|Comedy|Romance,Italian,UK,34839
1580,Men in Black (1997),1997,Action|Adventure|Comedy|Sci-Fi,Italian,India,25834
688,Operation Dumbo Drop (1995),1995,Action|Adventure|Comedy|War,English,USA,85875
112,Rumble in the Bronx (1995),1995,Action|Adventure|Crime,English,India,30625
434,Cliffhanger (1993),1993,Action|Adventure|Crime,French,Canada,50242
1562,Batman & Robin (1997),1997,Action|Adventure|Crime,Italian,India,35295
592,Batman (1989),1989,Action|Adventure|Crime|Drama,French,Canada,67356
464,Hard Target (1993),1993,Action|Adventure|Crime|Thriller,German,France,54183
1287,Ben-Hur (1959),1959,Action|Adventure|Drama,Italian,India,6909
2370,"Emerald Forest, The (1985)",1985,Action|Adventure|Drama,Italian,Italy,18248
2421,"Karate Kid, Part II, The (1986)",1986,Action|Adventure|Drama,German,Italy,65824
2422,"Karate Kid III, The (1989)",1989,Action|Adventure|Drama,German,Canada,91329
3805,Knightriders (1981),1981,Action|Adventure|Drama,Spanish,USA,5761
168,First Knight (1995),1995,Action|Adventure|Drama|Romance,Italian,Italy,67689
1196,Star Wars: Episode V - The Empire Strikes Back (1980),1980,Action|Adventure|Drama|Sci-Fi|War,French,UK,51248
2344,Runaway Train (1985),1985,Action|Adventure|Drama|Thriller,Italian,Italy,99852
653,Dragonheart (1996),1996,Action|Adventure|Fantasy,French,France,92183
2193,Willow (1988),1988,Action|Adventure|Fantasy,English,India,2361
3153,"7th Voyage of Sinbad, The (1958)",1958,Action|Adventure|Fantasy,Spanish,USA,72456
3877,Supergirl (1984),1984,Action|Adventure|Fantasy,German,Italy,19461
3889,Highlander: Endgame (2000),2000,Action|Adventure|Fantasy,French,France,38219
260,Star Wars: Episode IV - A New Hope (1977),1977,Action|Adventure|Fantasy|Sci-Fi,Spanish,France,6999
2105,Tron (1982),1982,Action|Adventure|Fantasy|Sci-Fi,Italian,Canada,14703
2628,Star Wars: Episode I - The Phantom Menace (1999),1999,Action|Adventure|Fantasy|Sci-Fi,French,UK,37881
2167,Blade (1998),1998,Action|Adventure|Horror,English,Canada,93628
2366,King Kong (1933),1933,Action|Adventure|Horror,French,France,1418
2367,King Kong (1976),1976,Action|Adventure|Horror,German,India,12236
2368,King Kong Lives (1986),1986,Action|Adventure|Horror,Spanish,France,51052
2617,"Mummy, The (1999)",1999,Action|Adventure|Horror|Thriller,Spanish,USA,8955
648,Mission: Impossible (1996),1996,Action|Adventure|Mystery,French,Canada,70545
2414,Young Sherlock Holmes (1985),1985,Action|Adventure|Mystery,Spanish,France,68363
160,Congo (1995),1995,Action|Adventure|Mystery|Sci-Fi,English,Canada,63132
15,Cutthroat Island (1995),1995,Action|Adventure|Romance,Spanish,India,41754
2006,"Mask of Zorro, The (1998)",1998,Action|Adventure|Romance,Italian,Italy,39910
1210,Star Wars: Episode VI - Return of the Jedi (1983),1983,Action|Adventure|Romance|Sci-Fi|War,German,India,63619
736,Twister (1996),1996,Action|Adventure|Romance|Thriller,Spanish,USA,14045
3705,Bird on a Wire (1990),1990,Action|Adventure|Romance|Thriller,Italian,Canada,13607
969,"African Queen, The (1951)",1951,Action|Adventure|Romance|War,English,Canada,97830
173,Judge Dredd (1995),1995,Action|Adventure|Sci-Fi,Spanish,USA,58497
316,Stargate (1994),1994,Action|Adventure|Sci-Fi,French,UK,29129
329,Star Trek: Generations (1994),1994,Action|Adventure|Sci-Fi,German,India,52595
480,Jurassic Park (1993),1993,Action|Adventure|Sci-Fi,German,India,45506
1356,Star Trek: First Contact (1996),1996,Action|Adventure|Sci-Fi,French,UK,76221
1371,Star Trek: The Motion Picture (1979),1979,Action|Adventure|Sci-Fi,German,France,99109
1372,Star Trek VI: The Undiscovered Country (1991),1991,Action|Adventure|Sci-Fi,Spanish,France,5786
1373,Star Trek V: The Final Frontier (1989),1989,Action|Adventure|Sci-Fi,German,Italy,72676
1374,Star Trek: The Wrath of Khan (1982),1982,Action|Adventure|Sci-Fi,French,UK,82845
1375,Star Trek III: The Search for Spock (1984),1984,Action|Adventure|Sci-Fi,Italian,Italy,31440
1376,Star Trek IV: The Voyage Home (1986),1986,Action|Adventure|Sci-Fi,Italian,Italy,2113
1720,Time Tracers (1995),1995,Action|Adventure|Sci-Fi,Spanish,USA,67361
2094,"Rocketeer, The (1991)",1991,Action|Adventure|Sci-Fi,French,France,92209
2275,Six-String Samurai (1998),1998,Action|Adventure|Sci-Fi,German,USA,98757
2528,Logan's Run (1976),1976,Action|Adventure|Sci-Fi,French,UK,21433
2640,Superman (1978),1978,Action|Adventure|Sci-Fi,English,UK,33136
2641,Superman II (1980),1980,Action|Adventure|Sci-Fi,English,Canada,74754
2642,Superman III (1983),1983,Action|Adventure|Sci-Fi,Spanish,Canada,3510
2643,Superman IV: The Quest for Peace (1987),1987,Action|Adventure|Sci-Fi,Italian,Canada,16795
3698,"Running Man, The (1987)",1987,Action|Adventure|Sci-Fi,Italian,Italy,46708
3864,Godzilla 2000 (Gojira ni-sen mireniamu) (1999),1999,Action|Adventure|Sci-Fi,Italian,UK,21585
849,Escape from L.A. (1996),1996,Action|Adventure|Sci-Fi|Thriller,French,USA,23590
1127,"Abyss, The (1989)",1989,Action|Adventure|Sci-Fi|Thriller,French,France,74165
1129,Escape from New York (1981),1981,Action|Adventure|Sci-Fi|Thriller,Italian,France,31129
1544,"Lost World: Jurassic Park, The (1997)",1997,Action|Adventure|Sci-Fi|Thriller,Spanish,Canada,43117
1591,Spawn (1997),1997,Action|Adventure|Sci-Fi|Thriller,German,UK,21756
1917,Armageddon (1998),1998,Action|Adventure|Sci-Fi|Thriller,Spanish,USA,92662
2916,Total Recall (1990),1990,Action|Adventure|Sci-Fi|Thriller,German,USA,19148
2322,Soldier (1998),1998,Action|Adventure|Sci-Fi|Thriller|War,German,India,26064
1676,Starship Troopers (1997),1997,Action|Adventure|Sci-Fi|War,Spanish,USA,23600
10,GoldenEye (1995),1995,Action|Adventure|Thriller,Spanish,Canada,74950
349,Clear and Present Danger (1994),1994,Action|Adventure|Thriller,Spanish,France,94911
547,Surviving the Game (1994),1994,Action|Adventure|Thriller,German,Italy,15867
733,"Rock, The (1996)",1996,Action|Adventure|Thriller,German,USA,44686
798,Daylight (1996),1996,Action|Adventure|Thriller,German,USA,71982
836,Chain Reaction (1996),1996,Action|Adventure|Thriller,German,Italy,14257
990,Maximum Risk (1996),1996,Action|Adventure|Thriller,Spanish,Canada,12195
1499,Anaconda (1997),1997,Action|Adventure|Thriller,French,India,27797
1552,Con Air (1997),1997,Action|Adventure|Thriller,French,France,23329
1744,Firestorm (1998),1998,Action|Adventure|Thriller,French,Canada,89001
3755,"Perfect Storm, The (2000)",2000,Action|Adventure|Thriller,German,USA,32181
3366,Where Eagles Dare (1969),1969,Action|Adventure|War,French,UK,67855
3406,Captain Horatio Hornblower (1951),1951,Action|Adventure|War,French,India,27015
303,"Quick and the Dead, The (1995)",1995,Action|Adventure|Western,German,France,83192
1205,"Transformers: The Movie, The (1986)",1986,Action|Animation|Children's|Sci-Fi|Thriller|War,French,USA,56789
181,Mighty Morphin Power Rangers: The Movie (1995),1995,Action|Children's,French,USA,83712
502,"Next Karate Kid, The (1994)",1994,Action|Children's,Spanish,Canada,13462
1739,3 Ninjas: High Noon On Mega Mountain (1998),1998,Action|Children's,English,UK,94523
3438,Teenage Mutant Ninja Turtles (1990),1990,Action|Children's|Fantasy,English,UK,42150
3439,Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991),1991,Action|Children's|Fantasy,French,France,98520
3440,Teenage Mutant Ninja Turtles III (1993),1993,Action|Children's|Fantasy,English,India,6188
360,I Love Trouble (1994),1994,Action|Comedy,German,France,80037
387,"Low Down Dirty Shame, A (1994)",1994,Action|Comedy,German,UK,99007
420,Beverly Hills Cop III (1994),1994,Action|Comedy,Italian,France,31907
438,"Cowboy Way, The (1994)",1994,Action|Comedy,French,France,24653
485,Last Action Hero (1993),1993,Action|Comedy,Spanish,Italy,82731
1431,Beverly Hills Ninja (1997),1997,Action|Comedy,German,Canada,88652
1604,Money Talks (1997),1997,Action|Comedy,Spanish,Canada,49582
1858,Mr. Nice Guy (1997),1997,Action|Comedy,French,UK,42648
1866,"Big Hit, The (1998)",1998,Action|Comedy,English,India,57472
2170,Wrongfully Accused (1998),1998,Action|Comedy,Spanish,USA,69338
2457,Running Scared (1986),1986,Action|Comedy,English,UK,40999
2487,"Blood, Guts, Bullets and Octane (1998)",1998,Action|Comedy,Italian,Italy,63525
2582,Twin Dragons (Shuang long hui) (1992),1992,Action|Comedy,French,France,48378
2924,Drunken Master (Zui quan) (1979),1979,Action|Comedy,German,Italy,49229
3208,Loaded Weapon 1 (1993),1993,Action|Comedy,Spanish,Italy,82241
3268,Stop! Or My Mom Will Shoot (1992),1992,Action|Comedy,German,USA,85863
3275,"Boondock Saints, The (1999)",1999,Action|Comedy,Italian,Canada,41268
3667,Rent-A-Cop (1988),1988,Action|Comedy,French,UK,51821
3710,Action Jackson (1988),1988,Action|Comedy,German,Italy,49188
3740,Big Trouble in Little China (1986),1986,Action|Comedy,Italian,France,34641
3841,Air America (1990),1990,Action|Comedy,German,Italy,70581
3898,Bait (2000),2000,Action|Comedy,English,France,34975
1910,I Went Down (1997),1997,Action|Comedy|Crime,French,Canada,66544
1473,Best Men (1997),1997,Action|Comedy|Crime|Drama,Spanish,UK,26715
1918,Lethal Weapon 4 (1998),1998,Action|Comedy|Crime|Drama,English,France,25073
2000,Lethal Weapon (1987),1987,Action|Comedy|Crime|Drama,French,UK,23450
2001,Lethal Weapon 2 (1989),1989,Action|Comedy|Crime|Drama,French,India,4410
2002,Lethal Weapon 3 (1992),1992,Action|Comedy|Crime|Drama,English,Italy,28534
3184,Montana (1998),1998,Action|Comedy|Crime|Drama,German,USA,34633
3266,Man Bites Dog (C'est arrivé près de chez vous) (1992),1992,Action|Comedy|Crime|Drama,German,India,48466
70,From Dusk Till Dawn (1996),1996,Action|Comedy|Crime|Horror|Thriller,French,UK,31523
21,Get Shorty (1995),1995,Action|Comedy|Drama,German,India,90108
390,Faster Pussycat! Kill! Kill! (1965),1965,Action|Comedy|Drama,German,India,9353
1916,Buffalo 66 (1998),1998,Action|Comedy|Drama,Italian,UK,40924
2253,Toys (1992),1992,Action|Comedy|Fantasy,Italian,UK,90615
1220,"Blues Brothers, The (1980)",1980,Action|Comedy|Musical,Italian,India,91263
1772,Blues Brothers 2000 (1998),1998,Action|Comedy|Musical,French,Italy,23680
327,Tank Girl (1995),1995,Action|Comedy|Musical|Sci-Fi,Italian,India,18245
2468,Jumpin' Jack Flash (1986),1986,Action|Comedy|Romance|Thriller,German,Italy,29498
2699,Arachnophobia (1990),1990,Action|Comedy|Sci-Fi|Thriller,French,India,30676
1391,Mars Attacks! (1996),1996,Action|Comedy|Sci-Fi|War,English,Canada,29240
466,Hot Shots! Part Deux (1993),1993,Action|Comedy|War,Spanish,France,20807
3836,Kelly's Heroes (1970),1970,Action|Comedy|War,German,USA,6313
368,Maverick (1994),1994,Action|Comedy|Western,French,Canada,90339
1304,Butch Cassidy and the Sundance Kid (1969),1969,Action|Comedy|Western,German,India,92205
1378,Young Guns (1988),1988,Action|Comedy|Western,French,USA,71677
1379,Young Guns II (1990),1990,Action|Comedy|Western,German,Canada,33562
284,New York Cop (1996),1996,Action|Crime,Spanish,Canada,43512
998,Set It Off (1996),1996,Action|Crime,Spanish,France,52879
1785,King of New York (1990),1990,Action|Crime,English,France,78661
2260,Wisdom (1986),1986,Action|Crime,French,USA,95578
2308,Detroit 9000 (1973),1973,Action|Crime,Spanish,India,70638
2568,"Mod Squad, The (1999)",1999,Action|Crime,Italian,France,9544
2616,Dick Tracy (1990),1990,Action|Crime,English,Canada,74225
3265,Hard-Boiled (Lashou shentan) (1992),1992,Action|Crime,English,UK,15087
3716,Fatal Beauty (1987),1987,Action|Crime,Italian,India,22846
3717,Gone in 60 Seconds (2000),2000,Action|Crime,English,Canada,9158
3729,Shaft (1971),1971,Action|Crime,Spanish,Italy,87215
3744,Shaft (2000),2000,Action|Crime,English,UK,48372
3781,Shaft in Africa (1973),1973,Action|Crime,German,Italy,86458
3782,Shaft's Big Score! (1972),1972,Action|Crime,French,France,60145
42,Dead Presidents (1995),1995,Action|Crime|Drama,French,Italy,80657
493,Menace II Society (1993),1993,Action|Crime|Drama,Spanish,USA,55260
858,"Godfather, The (1972)",1972,Action|Crime|Drama,English,Canada,65751
1221,"Godfather: Part II, The (1974)",1974,Action|Crime|Drama,German,Canada,11323
2023,"Godfather: Part III, The (1990)",1990,Action|Crime|Drama,French,Canada,82257
2194,"Untouchables, The (1987)",1987,Action|Crime|Drama,Italian,France,43128
2912,"Limey, The (1999)",1999,Action|Crime|Drama,German,India,67268
1953,"French Connection, The (1971)",1971,Action|Crime|Drama|Thriller,German,Italy,71531
2540,"Corruptor, The (1999)",1999,Action|Crime|Drama|Thriller,Spanish,France,79168
1627,U Turn (1997),1997,Action|Crime|Mystery,German,India,67737
2126,Snake Eyes (1998),1998,Action|Crime|Mystery|Thriller,English,USA,48026
555,True Romance (1993),1993,Action|Crime|Romance,Italian,UK,64124
1523,"Truth or Consequences, N.M. (1997)",1997,Action|Crime|Romance,German,Canada,83754
1912,Out of Sight (1998),1998,Action|Crime|Romance,Italian,UK,16364
2692,Run Lola Run (Lola rennt) (1998),1998,Action|Crime|Romance,Spanish,UK,39592
198,Strange Days (1995),1995,Action|Crime|Sci-Fi,Spanish,France,79748
2985,Robocop (1987),1987,Action|Crime|Sci-Fi,French,Italy,1119
2986,Robocop 2 (1990),1990,Action|Crime|Sci-Fi,English,Canada,95075
6,Heat (1995),1995,Action|Crime|Thriller,English,Canada,40658
170,Hackers (1995),1995,Action|Crime|Thriller,German,India,23560
2278,Ronin (1998),1998,Action|Crime|Thriller,Spanish,UK,20757
2956,Someone to Watch Over Me (1987),1987,Action|Crime|Thriller,German,UK,68455
3763,F/X (1986),1986,Action|Crime|Thriller,French,India,25633
3764,F/X 2 (1992),1992,Action|Crime|Thriller,Italian,France,2655
139,Target (1995),1995,Action|Drama,English,France,97467
507,"Perfect World, A (1993)",1993,Action|Drama,Italian,Canada,69284
511,"Program, The (1993)",1993,Action|Drama,English,France,98733
522,Romper Stomper (1992),1992,Action|Drama,English,Italy,62947
1112,Palookaville (1996),1996,Action|Drama,Spanish,Italy,63272
1134,Johnny 100 Pesos (1993),1993,Action|Drama,Spanish,USA,46855
1382,Marked for Death (1990),1990,Action|Drama,English,Italy,20224
1667,Mad City (1997),1997,Action|Drama,French,France,99747
1740,Men of Means (1998),1998,Action|Drama,Italian,Italy,69660
1773,Tokyo Fist (1995),1995,Action|Drama,English,Canada,67245
1788,Men With Guns (1997),1997,Action|Drama,Italian,UK,30967
1796,In God's Hands (1998),1998,Action|Drama,English,India,44077
1825,"Player's Club, The (1998)",1998,Action|Drama,English,France,84481
1832,Heaven's Burning (1997),1997,Action|Drama,English,France,82298
1954,Rocky (1976),1976,Action|Drama,Italian,France,67400
2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),1954,Action|Drama,Spanish,Canada,57624
2307,One Tough Cop (1998),1998,Action|Drama,French,India,23391
2409,Rocky II (1979),1979,Action|Drama,German,France,45597
2410,Rocky III (1982),1982,Action|Drama,Spanish,India,26924
2411,Rocky IV (1985),1985,Action|Drama,German,UK,14412
2412,Rocky V (1990),1990,Action|Drama,English,Italy,11532
2524,"Towering Inferno, The (1974)",1974,Action|Drama,Italian,France,99220
2823,"Spiders, The (Die Spinnen, 1. Teil: Der Goldene See) (1919)",1919,Action|Drama,English,France,17851
2892,New Rose Hotel (1998),1998,Action|Drama,Italian,Italy,43100
2893,Plunkett & MaCleane (1999),1999,Action|Drama,German,USA,50020
3020,Falling Down (1993),1993,Action|Drama,German,France,45828
3029,Nighthawks (1981),1981,Action|Drama,Italian,Italy,9118
3107,Backdraft (1991),1991,Action|Drama,Italian,Italy,5513
3165,Boiling Point (1993),1993,Action|Drama,German,USA,13129
3314,"Big Trees, The (1952)",1952,Action|Drama,Italian,Canada,58380
3404,Titanic (1953),1953,Action|Drama,Italian,UK,81231
3405,"Night to Remember, A (1958)",1958,Action|Drama,Spanish,France,24454
3418,Thelma & Louise (1991),1991,Action|Drama,Spanish,Canada,50830
3430,Death Wish (1974),1974,Action|Drama,Italian,India,64237
3431,Death Wish II (1982),1982,Action|Drama,Spanish,India,82289
3432,Death Wish 3 (1985),1985,Action|Drama,German,India,51844
3433,Death Wish 4: The Crackdown (1987),1987,Action|Drama,Spanish,USA,32339
3434,Death Wish V: The Face of Death (1994),1994,Action|Drama,French,USA,74714
2872,Excalibur (1981),1981,Action|Drama|Fantasy|Romance,Spanish,UK,72735
517,Rising Sun (1993),1993,Action|Drama|Mystery,Spanish,USA,15012
1264,Diva (1981),1981,Action|Drama|Mystery|Romance|Thriller,Italian,UK,68373
1277,Cyrano de Bergerac (1990),1990,Action|Drama|Romance,Spanish,UK,43925
1801,"Man in the Iron Mask, The (1998)",1998,Action|Drama|Romance,French,Canada,15685
3257,"Bodyguard, The (1992)",1992,Action|Drama|Romance|Thriller,English,USA,22772
3584,Breathless (1983),1983,Action|Drama|Romance|Thriller,Italian,Canada,72466
1876,Deep Impact (1998),1998,Action|Drama|Sci-Fi|Thriller,Italian,UK,13477
51,Guardian Angel (1994),1994,Action|Drama|Thriller,English,India,86868
292,Outbreak (1995),1995,Action|Drama|Thriller,French,France,14801
591,Tough and Deadly (1995),1995,Action|Drama|Thriller,French,France,49082
624,Condition Red (1995),1995,Action|Drama|Thriller,English,USA,77317
675,Hostile Intentions (1994),1994,Action|Drama|Thriller,Spanish,USA,39155
1480,Smilla's Sense of Snow (1997),1997,Action|Drama|Thriller,German,France,32770
1626,Fire Down Below (1997),1997,Action|Drama|Thriller,English,UK,96269
1833,Mercury Rising (1998),1998,Action|Drama|Thriller,English,Canada,1304
3443,Born American (1986),1986,Action|Drama|Thriller,German,UK,70606
3946,Get Carter (2000),2000,Action|Drama|Thriller,Italian,Italy,66066
1488,"Devil's Own, The (1997)",1997,Action|Drama|Thriller|War,Italian,Italy,31957
110,Braveheart (1995),1995,Action|Drama|War,Italian,UK,6573
465,Heaven & Earth (1993),1993,Action|Drama|War,French,Canada,17802
1222,Full Metal Jacket (1987),1987,Action|Drama|War,Spanish,USA,93749
1233,"Boat, The (Das Boot) (1981)",1981,Action|Drama|War,Spanish,France,54966
1242,Glory (1989),1989,Action|Drama|War,Spanish,UK,45889
1586,G.I. Jane (1997),1997,Action|Drama|War,French,France,43931
2028,Saving Private Ryan (1998),1998,Action|Drama|War,German,Italy,79895
2427,"Thin Red Line, The (1998)",1998,Action|Drama|War,French,UK,20601
3062,"Longest Day, The (1962)",1962,Action|Drama|War,Spanish,Italy,89879
3628,Flying Tigers (1942),1942,Action|Drama|War,Spanish,USA,43694
3643,"Fighting Seabees, The (1944)",1944,Action|Drama|War,German,USA,19891
3654,"Guns of Navarone, The (1961)",1961,Action|Drama|War,Italian,Canada,65557
3753,"Patriot, The (2000)",2000,Action|Drama|War,French,USA,79559
996,Last Man Standing (1996),1996,Action|Drama|Western,French,Italy,37029
1335,Blood Beach (1981),1981,Action|Horror,French,France,22483
1387,Jaws (1975),1975,Action|Horror,English,Canada,69086
1388,Jaws 2 (1978),1978,Action|Horror,German,Canada,1540
1389,Jaws 3-D (1983),1983,Action|Horror,English,India,94548
3563,"Crow: Salvation, The (2000)",2000,Action|Horror,French,India,46724
611,Hellraiser: Bloodline (1996),1996,Action|Horror|Sci-Fi,French,USA,93479
1690,Alien: Resurrection (1997),1997,Action|Horror|Sci-Fi,English,Italy,70965
1762,Deep Rising (1998),1998,Action|Horror|Sci-Fi,Spanish,Canada,22757
2525,Alligator (1980),1980,Action|Horror|Sci-Fi,German,France,78625
2613,Night of the Comet (1984),1984,Action|Horror|Sci-Fi,German,France,65104
2614,Chopping Mall (a.k.a. Killbots) (1986),1986,Action|Horror|Sci-Fi,English,India,15133
